,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDNZD,Short Swap AUDNZD
2005-10-06,5.23,6.68,6.98,-7.802746566791512e-06,5.1440329218106975e-06
2005-10-07,5.39,6.88,7.0,-6.998782820379067e-06,5.845707458610683e-06
2005-10-08,5.36,6.87,6.99,-7.119147449336129e-06,5.9585048010973924e-06
2005-10-09,5.36,6.87,6.99,-7.119147449336129e-06,5.9585048010973924e-06
2005-10-10,5.36,6.87,6.99,-7.119147449336129e-06,5.9585048010973924e-06
2005-10-11,5.22,6.73,6.98,-7.85994998213648e-06,5.409582689335396e-06
2005-10-12,5.36,6.87,6.99,-7.119147449336129e-06,5.9585048010973924e-06
2005-10-13,5.36,6.99,7.11,-7.643256464011176e-06,6.472908093278465e-06
2005-10-14,5.23,7.0,7.15,-8.560727661851257e-06,6.515775034293551e-06
2005-10-15,5.39,6.97,7.12,-7.520431229351421e-06,6.334531758260567e-06
2005-10-16,5.39,6.97,7.12,-7.520431229351421e-06,6.334531758260567e-06
2005-10-17,5.36,7.03,7.15,-7.817959468902865e-06,6.644375857338822e-06
2005-10-18,5.19,6.98,7.13,-8.705797881888344e-06,6.6425120772946845e-06
2005-10-19,5.36,6.99,7.14,-7.774283717679945e-06,6.315070831199865e-06
2005-10-20,5.41,6.81,7.11,-7.366961345120468e-06,5.293021680216805e-06
2005-10-21,5.38,7.0,7.15,-7.706374085684432e-06,6.25319040326697e-06
2005-10-22,5.38,7.0,7.15,-7.706374085684432e-06,6.25319040326697e-06
2005-10-23,5.38,7.0,7.15,-7.706374085684432e-06,6.25319040326697e-06
2005-10-24,5.38,7.0,7.15,-7.706374085684432e-06,6.25319040326697e-06
2005-10-25,5.4,7.0,7.15,-7.595486111111111e-06,6.14927905004241e-06
2005-10-26,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-10-27,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-10-28,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-10-29,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-10-30,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-10-31,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-11-01,5.37,7.05,7.2,-7.98011512297226e-06,6.518404907975463e-06
2005-11-02,5.37,7.05,7.2,-7.98011512297226e-06,6.518404907975463e-06
2005-11-03,5.37,7.05,7.2,-7.98011512297226e-06,6.518404907975463e-06
2005-11-04,5.37,7.05,7.2,-7.98011512297226e-06,6.518404907975463e-06
2005-11-05,5.37,7.05,7.2,-7.98011512297226e-06,6.518404907975463e-06
2005-11-06,5.37,7.05,7.2,-7.98011512297226e-06,6.518404907975463e-06
2005-11-07,5.37,7.05,7.2,-7.98011512297226e-06,6.518404907975463e-06
2005-11-08,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-11-09,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-11-10,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-11-11,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-11-12,5.4,7.05,7.2,-7.812499999999993e-06,6.36132315521629e-06
2005-11-13,5.4,7.06,7.21,-7.855902777777781e-06,6.403731976251054e-06
2005-11-14,5.23,6.88,7.18,-8.694489031567677e-06,6.001371742112479e-06
2005-11-15,5.4,7.1,7.25,-8.029513888888888e-06,6.573367260390163e-06
2005-11-16,5.4,6.96,7.26,-8.072916666666665e-06,5.979643765903307e-06
2005-11-17,5.4,7.1,7.25,-8.029513888888888e-06,6.573367260390163e-06
2005-11-18,5.4,7.21,7.36,-8.506944444444442e-06,7.039864291772693e-06
2005-11-19,5.4,7.3,7.45,-8.897569444444438e-06,7.421543681085669e-06
2005-11-20,5.4,7.3,7.45,-8.897569444444438e-06,7.421543681085669e-06
